City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,at taj,24.2049,23.2857,40.35,12,23,3.64,LY,1720091447
155,coahuayana de hidalgo,18.7,-103.6583,23.38,88,100,1.85,MX,1720091732
156,nemuro,43.3236,145.575,13.66,99,61,2.65,JP,1720091449
157,bemidji,47.4736,-94.8803,13.09,100,0,0.0,US,1720091735
158,ugoofaaru,5.6667,73.0,29.55,71,94,2.91,MV,1720091737
159,fortaleza,-3.7227,-38.5247,26.23,73,75,4.63,BR,1720091738
160,weno,7.4515,151.8468,25.97,94,100,1.54,FM,1720091740
161,la gi,10.6667,107.7833,27.72,80,97,3.59,VN,1720091741
162,rokytne,51.2796,27.214,19.28,81,100,2.72,UA,1720091743
163,sisimiut,66.9395,-53.6735,8.25,59,1,2.53,GL,1720091744
164,paciran,-6.8767,112.3761,26.56,84,100,4.94,ID,1720091745
165,klaksvik,62.2266,-6.589,11.51,82,100,3.92,FO,1720091747
166,arish,31.1316,33.7984,32.22,39,0,5.14,EG,1720091748
167,melfort,52.8667,-104.6177,13.07,88,100,0.0,CA,1720091751
168,businga,3.3333,20.8833,30.9,52,90,1.22,CD,1720091752
169,nuku'alofa,-21.1333,-175.2,24.24,84,6,6.22,TO,1720091627
170,susuman,62.7833,148.1667,16.69,59,49,1.29,RU,1720091755
171,holbrook,40.8123,-73.0784,21.95,84,75,4.12,US,1720091757
172,igarka,67.4667,86.5833,21.59,45,89,3.62,RU,1720091758
173,ascension,30.2169,-90.9001,27.27,94,40,0.0,US,1720091760
174,fisterra,42.9049,-9.2629,27.95,75,34,8.77,ES,1720091761
175,bamboo flat,11.7,92.7167,25.63,91,100,8.98,IN,1720091763
176,ujae,8.9322,165.7642,27.92,79,97,6.25,MH,1720091764
177,bereeda,11.8704,51.0579,34.93,47,74,4.24,SO,1720091766
178,stary sacz,49.5636,20.635,23.79,47,21,0.57,PL,1720091767
179,sinabang,2.4803,96.3801,29.12,69,61,1.15,ID,1720091750
180,bayanhongor,46.7167,100.1167,14.57,67,100,2.58,MN,1720091770
181,sosnovyy bor,59.9,29.1167,17.86,80,99,0.56,RU,1720091772
182,luderitz,-26.6481,15.1594,20.04,46,20,6.95,NA,1720091773
183,hobyo,5.3505,48.5268,28.46,63,80,13.44,SO,1720091775
184,ormara,25.2088,64.6357,29.42,79,86,4.85,PK,1720091776
185,dunda,-8.1167,34.25,30.66,28,22,1.64,TZ,1720091779
186,saint-yrieix-sur-charente,45.6833,0.1167,19.86,72,100,5.14,FR,1720091785
187,raja,8.4596,25.678,35.25,34,93,2.27,SS,1720091787
188,vila do maio,15.1333,-23.2167,28.44,86,84,3.26,CV,1720091549
189,komarichi,52.4151,34.7905,30.5,43,99,5.52,RU,1720091790
190,mount pearl,47.5166,-52.7813,15.19,89,75,4.63,CA,1720091791
191,gubkinskiy,64.434,76.5026,26.96,40,64,3.89,RU,1720091793
192,qaqortoq,60.7167,-46.0333,2.12,91,14,3.41,GL,1720091796
193,hithadhoo,-0.6,73.0833,29.25,73,100,3.94,MV,1720091797
194,west island,-12.1568,96.8225,28.99,79,40,4.63,CC,1720091799
195,boguchany,58.3814,97.4531,25.43,68,100,1.49,RU,1720091800
196,tchintabaraden,15.8969,5.7985,34.6,36,70,5.22,NE,1720091606
197,al qaryatayn,34.2296,37.2407,36.44,14,0,1.27,SY,1720091803
198,sur,22.5667,59.5289,35.54,54,79,3.53,OM,1720091805
199,bam,29.106,58.357,44.33,9,32,4.23,IR,1720091806
200,gadzhiyevo,69.2551,33.3362,9.08,77,100,2.32,RU,1720091808
201,edinburgh of the seven seas,-37.0676,-12.3116,15.06,81,34,18.12,SH,1720091809
202,port alfred,-33.5906,26.891,18.99,52,14,4.92,ZA,1720091811
203,constitucion,-35.3333,-72.4167,6.67,69,89,5.75,CL,1720091813
204,santa cruz,-17.8,-63.1667,21.03,88,20,5.14,BO,1720091816
205,utrik,11.2278,169.8474,27.77,81,78,6.8,MH,1720091817
206,daru,-9.0763,143.2092,24.94,89,98,7.76,PG,1720091819
207,kingston,17.997,-76.7936,28.53,79,20,7.2,JM,1720091704
208,kittila,67.6647,24.8936,17.56,59,75,2.57,FI,1720091822
